corpus,variant,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_seeds
pre-filtered-corpus,irony,bert_base,0.8591044444444444,0.012730743386012213,0.8601773444335519,0.01287312287571609,0.8591044444444444,0.012730743386012228,0.8590024509308385,0.012730139901115354,5
pre-filtered-corpus,irony,cnn,0.7951,0.006935416353759875,0.7973399999999999,0.006057887420545204,0.7951,0.006935416353759875,0.7947200000000001,0.007099788729251085,5
pre-filtered-corpus,irony,ffn,0.76402,0.009875069620007764,0.7644,0.01012002964422535,0.76402,0.009875069620007764,0.7639199999999999,0.009813612994203476,5
pre-filtered-corpus,irony,logistic_regression,0.8044,0.0,0.805,0.0,0.8044,0.0,0.8042999999999999,0.0,5
pre-filtered-corpus,irony,naive_bayes,0.7778,0.0,0.7783,0.0,0.7778,0.0,0.7777,0.0,5
pre-filtered-corpus,irony,random_forest,0.77066,0.012108798454016778,0.77106,0.01184622302677103,0.77066,0.012108798454016778,0.77058,0.01218347241142693,5
pre-filtered-corpus,irony,rnn,0.76888,0.010634237161169567,0.771,0.009725481993197085,0.76888,0.010634237161169567,0.76842,0.010966631205616426,5
pre-filtered-corpus,irony,svm,0.7911,0.0,0.7912,0.0,0.7911,0.0,0.7911,0.0,5
pre-filtered-corpus,obfuscated,bert_base,0.8600044444444445,0.011966005346422724,0.8606431884224117,0.011666426437709472,0.8600044444444445,0.011966005346422724,0.8599433685826308,0.012001725216073884,5
pre-filtered-corpus,obfuscated,cnn,0.78178,0.005560305746989096,0.7855000000000001,0.0037927562537025837,0.78178,0.005560305746989096,0.78104,0.006518281982240452,5
pre-filtered-corpus,obfuscated,ffn,0.74312,0.010024320425844398,0.74498,0.009737658856213869,0.74312,0.010024320425844398,0.74264,0.010184694398949829,5
pre-filtered-corpus,obfuscated,logistic_regression,0.7889,0.0,0.7902,0.0,0.7889,0.0,0.7887,0.0,5
pre-filtered-corpus,obfuscated,naive_bayes,0.7689,0.0,0.7692,0.0,0.7689,0.0,0.7688,0.0,5
pre-filtered-corpus,obfuscated,random_forest,0.76086,0.01201657189051852,0.76204,0.01232570484799953,0.76086,0.01201657189051852,0.76064,0.012009704409351606,5
pre-filtered-corpus,obfuscated,rnn,0.76002,0.012669135724270973,0.76224,0.012615189257399214,0.76002,0.012669135724270973,0.75948,0.01283382250149967,5
pre-filtered-corpus,obfuscated,svm,0.7978,0.0,0.7981,0.0,0.7978,0.0,0.7977,0.0,5
pre-filtered-corpus,standard,bert_base,0.8542222222222222,0.011287488977066936,0.8549932690375959,0.011297315298562078,0.8542222222222222,0.01128748897706693,0.8541446861428581,0.011298115390372693,5
pre-filtered-corpus,standard,cnn,0.788,0.012724582507886054,0.78858,0.012139481043273602,0.788,0.012724582507886054,0.78786,0.01283464062605572,5
pre-filtered-corpus,standard,ffn,0.75068,0.013087665949282202,0.75202,0.012895037805295466,0.75068,0.013087665949282202,0.75032,0.013182260807615654,5
pre-filtered-corpus,standard,logistic_regression,0.8022,0.0,0.8029,0.0,0.8022,0.0,0.8021,0.0,5
pre-filtered-corpus,standard,naive_bayes,0.7733,0.0,0.7739,0.0,0.7733,0.0,0.7732,0.0,5
pre-filtered-corpus,standard,random_forest,0.77066,0.008054998448168683,0.7708,0.008120344820264682,0.77066,0.008054998448168683,0.77064,0.008067403547610595,5
pre-filtered-corpus,standard,rnn,0.76088,0.010712702740205192,0.76336,0.00978585714181444,0.76088,0.010712702740205192,0.7603,0.0110136279218067,5
pre-filtered-corpus,standard,svm,0.7978,0.0,0.7981,0.0,0.7978,0.0,0.7977,0.0,5
raw-corpus,irony,bert_base,0.8706755555555556,0.008231850218795982,0.8711853364006666,0.007777598377597509,0.8706755555555556,0.008231850218795982,0.8706149308492404,0.008268256136041627,5
raw-corpus,irony,cnn,0.80044,0.007938387745631985,0.8068799999999999,0.010993952883289977,0.80044,0.007938387745631985,0.7994,0.007730782625323238,5
raw-corpus,irony,ffn,0.76,0.011441809297484335,0.76546,0.00613946251719152,0.76,0.011441809297484335,0.75868,0.012955384980771468,5
raw-corpus,irony,logistic_regression,0.8067,0.0,0.8077,0.0,0.8067,0.0,0.8065,0.0,5
raw-corpus,irony,naive_bayes,0.7978,0.0,0.7983,0.0,0.7978,0.0,0.7977,0.0,5
raw-corpus,irony,random_forest,0.75734,0.002903101789465891,0.75788,0.002704995378923928,0.75734,0.002903101789465891,0.75722,0.002977750829065486,5
raw-corpus,irony,rnn,0.7880199999999999,0.014293949769045624,0.78952,0.014082151824206404,0.7880199999999999,0.014293949769045624,0.78768,0.014361650322995587,5
raw-corpus,irony,svm,0.8,0.0,0.8001000000000001,0.0,0.8,0.0,0.8,0.0,5
raw-corpus,obfuscated,bert_base,0.8711155555555555,0.009941810948628614,0.8712056868685867,0.009921255785956165,0.8711155555555555,0.009941810948628633,0.8711107989720258,0.009947082632831986,5
raw-corpus,obfuscated,cnn,0.8115600000000001,0.011915661962308258,0.81364,0.011545908366170228,0.8115600000000001,0.011915661962308258,0.81124,0.01201802812444702,5
raw-corpus,obfuscated,ffn,0.76846,0.01657657986437493,0.76946,0.015830445350652693,0.76846,0.01657657986437493,0.76818,0.016799166645997683,5
raw-corpus,obfuscated,logistic_regression,0.8177999999999999,0.0,0.8184000000000001,0.0,0.8177999999999999,0.0,0.8177,0.0,5
raw-corpus,obfuscated,naive_bayes,0.8022,0.0,0.8025,0.0,0.8022,0.0,0.8022,0.0,5
raw-corpus,obfuscated,random_forest,0.76002,0.0068214367987983115,0.76122,0.006467379685776895,0.76002,0.0068214367987983115,0.75972,0.0069359209914762274,5
raw-corpus,obfuscated,rnn,0.78264,0.01551041585516006,0.78652,0.012523657612694476,0.78264,0.01551041585516006,0.78188,0.01621486971887226,5
raw-corpus,obfuscated,svm,0.8022,0.0,0.8024000000000001,0.0,0.8022,0.0,0.8022,0.0,5
raw-corpus,standard,bert_base,0.8697866666666666,0.009358716805572929,0.8701566574464138,0.008786691983314082,0.8697866666666666,0.009358716805572896,0.869740450156724,0.00943545573034789,5
raw-corpus,standard,cnn,0.80268,0.004552691511622592,0.8044600000000001,0.004453425647745764,0.80268,0.004552691511622592,0.80238,0.004659077161842246,5
raw-corpus,standard,ffn,0.76268,0.011264412989588067,0.76714,0.009075406326991666,0.76268,0.011264412989588067,0.7616400000000001,0.011948974851425504,5
raw-corpus,standard,logistic_regression,0.8067,0.0,0.8074,0.0,0.8067,0.0,0.8065999999999999,0.0,5
raw-corpus,standard,naive_bayes,0.7978,0.0,0.7983,0.0,0.7978,0.0,0.7977,0.0,5
raw-corpus,standard,random_forest,0.75466,0.008104196443818474,0.75522,0.007825407337640644,0.75466,0.008104196443818474,0.7545,0.008172209003690513,5
raw-corpus,standard,rnn,0.7733399999999999,0.02240263377373294,0.77934,0.018617814049989863,0.7733399999999999,0.02240263377373294,0.772,0.02347605162713697,5
raw-corpus,standard,svm,0.8,0.0,0.8001000000000001,0.0,0.8,0.0,0.8,0.0,5
