corpus,variant,model,accuracy,precision,recall,f1,seed
raw-corpus,irony,ffn,0.7622,0.7641,0.7622,0.7618,123
raw-corpus,irony,cnn,0.8022,0.8173,0.8022,0.7998,123
raw-corpus,irony,rnn,0.7733,0.7734,0.7733,0.7733,123
raw-corpus,obfuscated,logistic_regression,0.8178,0.8184,0.8178,0.8177,123
raw-corpus,obfuscated,naive_bayes,0.8022,0.8025,0.8022,0.8022,123
raw-corpus,obfuscated,svm,0.8022,0.8024,0.8022,0.8022,123
raw-corpus,obfuscated,random_forest,0.7711,0.7715,0.7711,0.771,123
raw-corpus,obfuscated,ffn,0.7467,0.7479,0.7467,0.7463,123
raw-corpus,obfuscated,cnn,0.8022,0.8044,0.8022,0.8019,123
raw-corpus,obfuscated,rnn,0.7644,0.775,0.7644,0.7622,123
raw-corpus,standard,bert_base,0.8711111111111111,0.871140435787519,0.8711111111111112,0.8711085651074589,123
raw-corpus,irony,bert_base,0.86,0.8616071428571428,0.86,0.8598442714126808,123
raw-corpus,obfuscated,bert_base,0.8688888888888889,0.8689544807965861,0.8688888888888888,0.8688830614693986,123
pre-filtered-corpus,standard,bert_base,0.84,0.8406729341909945,0.8400000000000001,0.8399209486166008,123
pre-filtered-corpus,irony,bert_base,0.8444444444444444,0.8451261751608115,0.8444444444444444,0.8443675889328064,123
pre-filtered-corpus,obfuscated,bert_base,0.8622222222222222,0.8622222222222222,0.8622222222222222,0.8622222222222222,123
pre-filtered-corpus,standard,logistic_regression,0.8022,0.8029,0.8022,0.8021,2024
pre-filtered-corpus,standard,naive_bayes,0.7733,0.7739,0.7733,0.7732,2024
pre-filtered-corpus,standard,svm,0.7978,0.7981,0.7978,0.7977,2024
pre-filtered-corpus,standard,random_forest,0.7844,0.7847,0.7844,0.7844,2024
pre-filtered-corpus,standard,ffn,0.7489,0.7525,0.7489,0.748,2024
pre-filtered-corpus,standard,cnn,0.8044,0.8045,0.8044,0.8044,2024
pre-filtered-corpus,standard,rnn,0.7533,0.757,0.7533,0.7524,2024
pre-filtered-corpus,irony,logistic_regression,0.8044,0.805,0.8044,0.8043,2024
pre-filtered-corpus,irony,naive_bayes,0.7778,0.7783,0.7778,0.7777,2024
pre-filtered-corpus,irony,svm,0.7911,0.7912,0.7911,0.7911,2024
pre-filtered-corpus,irony,random_forest,0.7667,0.7669,0.7667,0.7666,2024
pre-filtered-corpus,irony,ffn,0.7533,0.7534,0.7533,0.7533,2024
pre-filtered-corpus,irony,cnn,0.7956,0.799,0.7956,0.795,2024
pre-filtered-corpus,irony,rnn,0.7711,0.7712,0.7711,0.7711,2024
pre-filtered-corpus,obfuscated,logistic_regression,0.7889,0.7902,0.7889,0.7887,2024
pre-filtered-corpus,obfuscated,naive_bayes,0.7689,0.7692,0.7689,0.7688,2024
pre-filtered-corpus,obfuscated,svm,0.7978,0.7981,0.7978,0.7977,2024
pre-filtered-corpus,obfuscated,random_forest,0.7711,0.7723,0.7711,0.7709,2024
pre-filtered-corpus,obfuscated,ffn,0.7378,0.7393,0.7378,0.7374,2024
pre-filtered-corpus,obfuscated,cnn,0.78,0.7803,0.78,0.7799,2024
pre-filtered-corpus,obfuscated,rnn,0.7756,0.7762,0.7756,0.7754,2024
raw-corpus,standard,logistic_regression,0.8067,0.8074,0.8067,0.8066,2024
raw-corpus,standard,naive_bayes,0.7978,0.7983,0.7978,0.7977,2024
raw-corpus,standard,svm,0.8,0.8001,0.8,0.8,2024
raw-corpus,standard,random_forest,0.7489,0.7503,0.7489,0.7485,2024
raw-corpus,standard,ffn,0.7511,0.7593,0.7511,0.7491,2024
raw-corpus,standard,cnn,0.8044,0.8092,0.8044,0.8037,2024
raw-corpus,standard,rnn,0.7956,0.7971,0.7956,0.7953,2024
raw-corpus,irony,logistic_regression,0.8067,0.8077,0.8067,0.8065,2024
raw-corpus,irony,naive_bayes,0.7978,0.7983,0.7978,0.7977,2024
raw-corpus,irony,svm,0.8,0.8001,0.8,0.8,2024
raw-corpus,irony,random_forest,0.7533,0.7542,0.7533,0.7531,2024
raw-corpus,irony,ffn,0.7644,0.7652,0.7644,0.7643,2024
raw-corpus,irony,cnn,0.8067,0.8094,0.8067,0.8062,2024
raw-corpus,irony,rnn,0.8067,0.8068,0.8067,0.8066,2024
raw-corpus,obfuscated,logistic_regression,0.8178,0.8184,0.8178,0.8177,2024
raw-corpus,obfuscated,naive_bayes,0.8022,0.8025,0.8022,0.8022,2024
raw-corpus,obfuscated,svm,0.8022,0.8024,0.8022,0.8022,2024
raw-corpus,obfuscated,random_forest,0.7556,0.7572,0.7556,0.7552,2024
raw-corpus,obfuscated,ffn,0.7711,0.772,0.7711,0.7709,2024
raw-corpus,obfuscated,cnn,0.8178,0.8187,0.8178,0.8176,2024
raw-corpus,obfuscated,rnn,0.7711,0.7751,0.7711,0.7703,2024
raw-corpus,standard,bert_base,0.8755555555555555,0.8755852314256929,0.8755555555555555,0.8755530973451328,2024
raw-corpus,irony,bert_base,0.8733333333333333,0.8736950332173363,0.8733333333333333,0.873302675709184,2024
raw-corpus,obfuscated,bert_base,0.86,0.8601778656126482,0.86,0.8599827139152982,2024
pre-filtered-corpus,standard,bert_base,0.8466666666666667,0.8468379446640316,0.8466666666666667,0.8466477342881837,2024
pre-filtered-corpus,irony,bert_base,0.8688888888888889,0.8701244648802917,0.8688888888888888,0.868779376368426,2024
pre-filtered-corpus,obfuscated,bert_base,0.8444444444444444,0.8451261751608115,0.8444444444444444,0.8443675889328064,2024
pre-filtered-corpus,standard,logistic_regression,0.8022,0.8029,0.8022,0.8021,7
pre-filtered-corpus,standard,naive_bayes,0.7733,0.7739,0.7733,0.7732,7
pre-filtered-corpus,standard,svm,0.7978,0.7981,0.7978,0.7977,7
pre-filtered-corpus,standard,random_forest,0.7667,0.7669,0.7667,0.7666,7
pre-filtered-corpus,standard,ffn,0.7556,0.7572,0.7556,0.7552,7
pre-filtered-corpus,standard,cnn,0.7778,0.7789,0.7778,0.7776,7
pre-filtered-corpus,standard,rnn,0.7733,0.7747,0.7733,0.773,7
pre-filtered-corpus,irony,logistic_regression,0.8044,0.805,0.8044,0.8043,7
pre-filtered-corpus,irony,naive_bayes,0.7778,0.7783,0.7778,0.7777,7
pre-filtered-corpus,irony,svm,0.7911,0.7912,0.7911,0.7911,7
pre-filtered-corpus,irony,random_forest,0.7711,0.7714,0.7711,0.7711,7
pre-filtered-corpus,irony,ffn,0.7556,0.7556,0.7556,0.7556,7
pre-filtered-corpus,irony,cnn,0.8,0.8015,0.8,0.7997,7
pre-filtered-corpus,irony,rnn,0.76,0.76,0.76,0.76,7
pre-filtered-corpus,obfuscated,logistic_regression,0.7889,0.7902,0.7889,0.7887,7
pre-filtered-corpus,obfuscated,naive_bayes,0.7689,0.7692,0.7689,0.7688,7
pre-filtered-corpus,obfuscated,svm,0.7978,0.7981,0.7978,0.7977,7
pre-filtered-corpus,obfuscated,random_forest,0.7644,0.7666,0.7644,0.764,7
pre-filtered-corpus,obfuscated,ffn,0.7311,0.7336,0.7311,0.7304,7
pre-filtered-corpus,obfuscated,cnn,0.7867,0.7875,0.7867,0.7865,7
pre-filtered-corpus,obfuscated,rnn,0.7711,0.7723,0.7711,0.7709,7
raw-corpus,standard,logistic_regression,0.8067,0.8074,0.8067,0.8066,7
raw-corpus,standard,naive_bayes,0.7978,0.7983,0.7978,0.7977,7
raw-corpus,standard,svm,0.8,0.8001,0.8,0.8,7
raw-corpus,standard,random_forest,0.7556,0.7556,0.7556,0.7555,7
raw-corpus,standard,ffn,0.7556,0.7596,0.7556,0.7546,7
raw-corpus,standard,cnn,0.8067,0.8067,0.8067,0.8067,7
raw-corpus,standard,rnn,0.74,0.751,0.74,0.7371,7
raw-corpus,irony,logistic_regression,0.8067,0.8077,0.8067,0.8065,7
raw-corpus,irony,naive_bayes,0.7978,0.7983,0.7978,0.7977,7
raw-corpus,irony,svm,0.8,0.8001,0.8,0.8,7
raw-corpus,irony,random_forest,0.76,0.7602,0.76,0.76,7
raw-corpus,irony,ffn,0.7511,0.7593,0.7511,0.7491,7
raw-corpus,irony,cnn,0.8089,0.817,0.8089,0.8077,7
raw-corpus,irony,rnn,0.7978,0.8009,0.7978,0.7972,7
raw-corpus,obfuscated,logistic_regression,0.8178,0.8184,0.8178,0.8177,7
raw-corpus,obfuscated,naive_bayes,0.8022,0.8025,0.8022,0.8022,7
raw-corpus,obfuscated,svm,0.8022,0.8024,0.8022,0.8022,7
raw-corpus,obfuscated,random_forest,0.7556,0.7576,0.7556,0.7551,7
raw-corpus,obfuscated,ffn,0.7578,0.7605,0.7578,0.7571,7
raw-corpus,obfuscated,cnn,0.8089,0.8161,0.8089,0.8078,7
raw-corpus,obfuscated,rnn,0.7822,0.7837,0.7822,0.7819,7
raw-corpus,standard,bert_base,0.88,0.8800300270638668,0.88,0.8799976295828066,7
raw-corpus,irony,bert_base,0.88,0.88,0.88,0.88,7
raw-corpus,obfuscated,bert_base,0.8844444444444445,0.8844444444444445,0.8844444444444445,0.8844444444444445,7
pre-filtered-corpus,standard,bert_base,0.8688888888888889,0.8692462828218919,0.8688888888888889,0.868857155558629,7
pre-filtered-corpus,irony,bert_base,0.8755555555555555,0.8766268497058298,0.8755555555555556,0.8754669987546699,7
pre-filtered-corpus,obfuscated,bert_base,0.8777777777777778,0.8777852402022757,0.8777777777777778,0.8777771742082676,7
