corpus,variant,model,accuracy,precision,recall,f1
pre-filtered-corpus,standard,logistic_regression,0.8022,0.8029,0.8022,0.8021
pre-filtered-corpus,standard,naive_bayes,0.7733,0.7739,0.7733,0.7732
pre-filtered-corpus,standard,svm,0.7978,0.7981,0.7978,0.7977
pre-filtered-corpus,standard,random_forest,0.7667,0.7669,0.7667,0.7666
pre-filtered-corpus,standard,ffn,0.7556,0.7572,0.7556,0.7552
pre-filtered-corpus,standard,cnn,0.7778,0.7789,0.7778,0.7776
pre-filtered-corpus,standard,rnn,0.7733,0.7747,0.7733,0.773
pre-filtered-corpus,irony,logistic_regression,0.8044,0.805,0.8044,0.8043
pre-filtered-corpus,irony,naive_bayes,0.7778,0.7783,0.7778,0.7777
pre-filtered-corpus,irony,svm,0.7911,0.7912,0.7911,0.7911
pre-filtered-corpus,irony,random_forest,0.7711,0.7714,0.7711,0.7711
pre-filtered-corpus,irony,ffn,0.7556,0.7556,0.7556,0.7556
pre-filtered-corpus,irony,cnn,0.8,0.8015,0.8,0.7997
pre-filtered-corpus,irony,rnn,0.76,0.76,0.76,0.76
pre-filtered-corpus,obfuscated,logistic_regression,0.7889,0.7902,0.7889,0.7887
pre-filtered-corpus,obfuscated,naive_bayes,0.7689,0.7692,0.7689,0.7688
pre-filtered-corpus,obfuscated,svm,0.7978,0.7981,0.7978,0.7977
pre-filtered-corpus,obfuscated,random_forest,0.7644,0.7666,0.7644,0.764
pre-filtered-corpus,obfuscated,ffn,0.7311,0.7336,0.7311,0.7304
pre-filtered-corpus,obfuscated,cnn,0.7867,0.7875,0.7867,0.7865
pre-filtered-corpus,obfuscated,rnn,0.7711,0.7723,0.7711,0.7709
raw-corpus,standard,logistic_regression,0.8067,0.8074,0.8067,0.8066
raw-corpus,standard,naive_bayes,0.7978,0.7983,0.7978,0.7977
raw-corpus,standard,svm,0.8,0.8001,0.8,0.8
raw-corpus,standard,random_forest,0.7556,0.7556,0.7556,0.7555
raw-corpus,standard,ffn,0.7556,0.7596,0.7556,0.7546
raw-corpus,standard,cnn,0.8067,0.8067,0.8067,0.8067
raw-corpus,standard,rnn,0.74,0.751,0.74,0.7371
raw-corpus,irony,logistic_regression,0.8067,0.8077,0.8067,0.8065
raw-corpus,irony,naive_bayes,0.7978,0.7983,0.7978,0.7977
raw-corpus,irony,svm,0.8,0.8001,0.8,0.8
raw-corpus,irony,random_forest,0.76,0.7602,0.76,0.76
raw-corpus,irony,ffn,0.7511,0.7593,0.7511,0.7491
raw-corpus,irony,cnn,0.8089,0.817,0.8089,0.8077
raw-corpus,irony,rnn,0.7978,0.8009,0.7978,0.7972
raw-corpus,obfuscated,logistic_regression,0.8178,0.8184,0.8178,0.8177
raw-corpus,obfuscated,naive_bayes,0.8022,0.8025,0.8022,0.8022
raw-corpus,obfuscated,svm,0.8022,0.8024,0.8022,0.8022
raw-corpus,obfuscated,random_forest,0.7556,0.7576,0.7556,0.7551
raw-corpus,obfuscated,ffn,0.7578,0.7605,0.7578,0.7571
raw-corpus,obfuscated,cnn,0.8089,0.8161,0.8089,0.8078
raw-corpus,obfuscated,rnn,0.7822,0.7837,0.7822,0.7819
