corpus,variant,model,accuracy,precision,recall,f1
pre-filtered-corpus,standard,logistic_regression,0.8022,0.8029,0.8022,0.8021
pre-filtered-corpus,standard,naive_bayes,0.7733,0.7739,0.7733,0.7732
pre-filtered-corpus,standard,svm,0.7978,0.7981,0.7978,0.7977
pre-filtered-corpus,standard,random_forest,0.7844,0.7847,0.7844,0.7844
pre-filtered-corpus,standard,ffn,0.7489,0.7525,0.7489,0.748
pre-filtered-corpus,standard,cnn,0.8044,0.8045,0.8044,0.8044
pre-filtered-corpus,standard,rnn,0.7533,0.757,0.7533,0.7524
pre-filtered-corpus,irony,logistic_regression,0.8044,0.805,0.8044,0.8043
pre-filtered-corpus,irony,naive_bayes,0.7778,0.7783,0.7778,0.7777
pre-filtered-corpus,irony,svm,0.7911,0.7912,0.7911,0.7911
pre-filtered-corpus,irony,random_forest,0.7667,0.7669,0.7667,0.7666
pre-filtered-corpus,irony,ffn,0.7533,0.7534,0.7533,0.7533
pre-filtered-corpus,irony,cnn,0.7956,0.799,0.7956,0.795
pre-filtered-corpus,irony,rnn,0.7711,0.7712,0.7711,0.7711
pre-filtered-corpus,obfuscated,logistic_regression,0.7889,0.7902,0.7889,0.7887
pre-filtered-corpus,obfuscated,naive_bayes,0.7689,0.7692,0.7689,0.7688
pre-filtered-corpus,obfuscated,svm,0.7978,0.7981,0.7978,0.7977
pre-filtered-corpus,obfuscated,random_forest,0.7711,0.7723,0.7711,0.7709
pre-filtered-corpus,obfuscated,ffn,0.7378,0.7393,0.7378,0.7374
pre-filtered-corpus,obfuscated,cnn,0.78,0.7803,0.78,0.7799
pre-filtered-corpus,obfuscated,rnn,0.7756,0.7762,0.7756,0.7754
raw-corpus,standard,logistic_regression,0.8067,0.8074,0.8067,0.8066
raw-corpus,standard,naive_bayes,0.7978,0.7983,0.7978,0.7977
raw-corpus,standard,svm,0.8,0.8001,0.8,0.8
raw-corpus,standard,random_forest,0.7489,0.7503,0.7489,0.7485
raw-corpus,standard,ffn,0.7511,0.7593,0.7511,0.7491
raw-corpus,standard,cnn,0.8044,0.8092,0.8044,0.8037
raw-corpus,standard,rnn,0.7956,0.7971,0.7956,0.7953
raw-corpus,irony,logistic_regression,0.8067,0.8077,0.8067,0.8065
raw-corpus,irony,naive_bayes,0.7978,0.7983,0.7978,0.7977
raw-corpus,irony,svm,0.8,0.8001,0.8,0.8
raw-corpus,irony,random_forest,0.7533,0.7542,0.7533,0.7531
raw-corpus,irony,ffn,0.7644,0.7652,0.7644,0.7643
raw-corpus,irony,cnn,0.8067,0.8094,0.8067,0.8062
raw-corpus,irony,rnn,0.8067,0.8068,0.8067,0.8066
raw-corpus,obfuscated,logistic_regression,0.8178,0.8184,0.8178,0.8177
raw-corpus,obfuscated,naive_bayes,0.8022,0.8025,0.8022,0.8022
raw-corpus,obfuscated,svm,0.8022,0.8024,0.8022,0.8022
raw-corpus,obfuscated,random_forest,0.7556,0.7572,0.7556,0.7552
raw-corpus,obfuscated,ffn,0.7711,0.772,0.7711,0.7709
raw-corpus,obfuscated,cnn,0.8178,0.8187,0.8178,0.8176
raw-corpus,obfuscated,rnn,0.7711,0.7751,0.7711,0.7703
