corpus,variant,model,accuracy,precision,recall,f1
pre-filtered-corpus,standard,logistic_regression,0.8022,0.8029,0.8022,0.8021
pre-filtered-corpus,standard,naive_bayes,0.7733,0.7739,0.7733,0.7732
pre-filtered-corpus,standard,svm,0.7978,0.7981,0.7978,0.7977
pre-filtered-corpus,standard,random_forest,0.7644,0.7646,0.7644,0.7644
pre-filtered-corpus,standard,ffn,0.7622,0.7622,0.7622,0.7622
pre-filtered-corpus,standard,cnn,0.7889,0.7892,0.7889,0.7888
pre-filtered-corpus,standard,rnn,0.7644,0.768,0.7644,0.7637
pre-filtered-corpus,irony,logistic_regression,0.8044,0.805,0.8044,0.8043
pre-filtered-corpus,irony,naive_bayes,0.7778,0.7783,0.7778,0.7777
pre-filtered-corpus,irony,svm,0.7911,0.7912,0.7911,0.7911
pre-filtered-corpus,irony,random_forest,0.7644,0.7645,0.7644,0.7644
pre-filtered-corpus,irony,ffn,0.7778,0.7783,0.7778,0.7777
pre-filtered-corpus,irony,cnn,0.8022,0.8036,0.8022,0.802
pre-filtered-corpus,irony,rnn,0.7711,0.7745,0.7711,0.7704
pre-filtered-corpus,obfuscated,logistic_regression,0.7889,0.7902,0.7889,0.7887
pre-filtered-corpus,obfuscated,naive_bayes,0.7689,0.7692,0.7689,0.7688
pre-filtered-corpus,obfuscated,svm,0.7978,0.7981,0.7978,0.7977
pre-filtered-corpus,obfuscated,random_forest,0.74,0.7406,0.74,0.7398
pre-filtered-corpus,obfuscated,ffn,0.7422,0.7424,0.7422,0.7422
pre-filtered-corpus,obfuscated,cnn,0.7867,0.7894,0.7867,0.7862
pre-filtered-corpus,obfuscated,rnn,0.7556,0.7639,0.7556,0.7536
raw-corpus,standard,logistic_regression,0.8067,0.8074,0.8067,0.8066
raw-corpus,standard,naive_bayes,0.7978,0.7983,0.7978,0.7977
raw-corpus,standard,svm,0.8,0.8001,0.8,0.8
raw-corpus,standard,random_forest,0.7644,0.7645,0.7644,0.7644
raw-corpus,standard,ffn,0.7667,0.7667,0.7667,0.7667
raw-corpus,standard,cnn,0.8067,0.807,0.8067,0.8066
raw-corpus,standard,rnn,0.7756,0.7785,0.7756,0.775
raw-corpus,irony,logistic_regression,0.8067,0.8077,0.8067,0.8065
raw-corpus,irony,naive_bayes,0.7978,0.7983,0.7978,0.7977
raw-corpus,irony,svm,0.8,0.8001,0.8,0.8
raw-corpus,irony,random_forest,0.7556,0.7559,0.7556,0.7555
raw-corpus,irony,ffn,0.7756,0.7757,0.7756,0.7755
raw-corpus,irony,cnn,0.7911,0.7957,0.7911,0.7903
raw-corpus,irony,rnn,0.7867,0.7869,0.7867,0.7866
raw-corpus,obfuscated,logistic_regression,0.8178,0.8184,0.8178,0.8177
raw-corpus,obfuscated,naive_bayes,0.8022,0.8025,0.8022,0.8022
raw-corpus,obfuscated,svm,0.8022,0.8024,0.8022,0.8022
raw-corpus,obfuscated,random_forest,0.7556,0.7561,0.7556,0.7554
raw-corpus,obfuscated,ffn,0.7889,0.7889,0.7889,0.7889
raw-corpus,obfuscated,cnn,0.8289,0.8289,0.8289,0.8289
raw-corpus,obfuscated,rnn,0.7933,0.7959,0.7933,0.7929
